Date,LogPNL,NAV,Drawdown,ExpCut
2010-01-04,0.0,100000.0,0.0,1.0
2010-01-05,0.0,100000.0,0.0,1.0
2010-01-06,0.0,100000.0,0.0,1.0
2010-01-07,0.0,100000.0,0.0,1.0
2010-01-08,0.0,100000.0,0.0,1.0
2010-01-11,0.0,100000.0,0.0,1.0
2010-01-12,0.0,100000.0,0.0,1.0
2010-01-13,0.0,100000.0,0.0,1.0
2010-01-14,0.0,100000.0,0.0,1.0
2010-01-15,0.0,100000.0,0.0,1.0
2010-01-19,0.0,100000.0,0.0,1.0
2010-01-20,0.0,100000.0,0.0,1.0
2010-01-21,0.0,100000.0,0.0,1.0
2010-01-22,0.0,100000.0,0.0,1.0
2010-01-25,0.0,100000.0,0.0,1.0
2010-01-26,0.0,100000.0,0.0,1.0
2010-01-27,0.0,100000.0,0.0,1.0
2010-01-28,0.0,100000.0,0.0,1.0
2010-01-29,0.0,100000.0,0.0,1.0
2010-02-01,0.0,100000.0,0.0,1.0
2010-02-02,0.0,100000.0,0.0,1.0
2010-02-03,0.00012314604134022744,100012.31536241253,0.0,1.0
2010-02-04,-0.02781016697748484,97269.27516325473,-0.02742702425414212,0.5
2010-02-05,-0.0015740945812123819,97116.28456672595,-0.028956741829166632,0.5
2010-02-08,-0.002749925806934783,96849.58885429817,-0.03162337054845343,0.5
2010-02-09,0.004375940256499344,97274.32550232126,-0.02737652708238658,0.5
2010-02-10,0.0015299666233032916,97423.26588149538,-0.02588730669353334,0.5
2010-02-11,0.0043365551677161385,97846.66463110136,-0.02165384056416997,0.5
2010-02-12,0.0021415306142111845,98056.43078906357,-0.01955643728736267,0.5
2010-02-16,0.005308481466937298,98578.34559653442,-0.01433793189050625,0.5
2010-02-17,0.008160246175075603,99386.06025725661,-0.0062617798906721145,1.0
2010-02-18,0.013846455962192472,100771.77645345138,0.0,1.0
2010-02-19,0.0020830086518719426,100981.90370813597,0.0,1.0
2010-02-22,0.0034669081241931465,101332.60626600076,0.0,1.0
2010-02-23,-0.00628813406426687,100697.41243768882,-0.006268405123663112,0.5
2010-02-24,0.0020326416214104803,100902.3023527184,-0.004246450665176815,1.0
2010-02-25,0.0027610757034093325,101181.28621871256,-0.001493300654786145,1.0
2010-02-26,0.00711580501411202,101903.84025046788,0.0,1.0
2010-03-01,0.007068188647196827,102626.66734704604,0.0,1.0
2010-03-02,0.00195716971534754,102827.72183706575,0.0,1.0
2010-03-03,-0.0006079569829768872,102765.22600484504,-0.0006077722145758635,1.0
2010-03-04,0.00031441849719282544,102797.54237293485,-0.00029349540757805936,1.0
2010-03-05,0.010279181048540309,103859.6664530647,0.0,1.0
2010-03-08,0.0047249557441499945,104351.5599530317,0.0,1.0
2010-03-09,-0.0019599488729502568,104147.23652785191,-0.001958029427367891,1.0
2010-03-10,0.0026460281789546514,104423.17796387308,0.0,1.0
2010-03-11,-0.0014562878760298048,104271.2184310964,-0.0014552280033964804,1.0
2010-03-12,0.0008503342770946887,104359.9215305409,-0.0006057700461296056,1.0
2010-03-15,0.0026183574585347813,104633.531157038,0.0,1.0
2010-03-16,0.0020516503668650543,104848.42294565309,0.0,1.0
2010-03-17,0.011847566950045518,106098.0093187506,0.0,1.0
2010-03-18,0.004970803435522697,106626.71462440638,0.0,1.0
2010-03-19,-0.004098949270550989,106190.55164591504,-0.004090560044241465,1.0
2010-03-22,0.003468427140973951,106559.50531193765,-0.0006303233922705376,1.0
2010-03-23,0.007774381689761967,107391.1682224821,0.0,1.0
2010-03-24,-0.005370161558202469,106816.00603836904,-0.005355768017361484,1.0
2010-03-25,0.00023184434288303635,106840.77359609654,-0.0051251386449704395,1.0
2010-03-26,0.0018242055943851199,107035.85100955644,-0.0033086260146601987,1.0
2010-03-29,0.0033098456994800074,107390.71010117071,-4.2659123554722456e-06,1.0
2010-03-30,0.005414666262416823,107973.77207450391,0.0,1.0
2010-03-31,0.002389346628905109,108232.06729834802,0.0,1.0
2010-04-01,0.0026273728805401575,108516.80719191096,0.0,1.0
2010-04-05,0.005760430700299857,109143.714634465,0.0,1.0
2010-04-06,0.009248689885370531,110157.83341026898,0.0,1.0
2010-04-07,-0.004194810746916744,109696.70998574821,-0.00418602481771202,1.0
2010-04-08,0.005371247055955486,110287.50334447197,0.0,1.0
2010-04-09,0.003816192430437404,110709.18577880591,0.0,1.0
2010-04-12,0.0011036590485176134,110831.43842365425,0.0,1.0
2010-04-13,-0.0011582386689585888,110703.1434783615,-0.0011575681694425688,1.0
2010-04-14,0.006818179650721845,111460.51641684161,0.0,1.0
2010-04-15,0.0006665485168273477,111534.83502447132,0.0,1.0
2010-04-16,-0.007190672428945888,110735.70115963464,-0.007164881399262857,1.0
2010-04-19,0.0015824784160693994,110911.07674404807,-0.005592497449665834,1.0
2010-04-20,0.02027528911377985,113182.7828177313,0.0,1.0
2010-04-21,0.00299469299661137,113522.2385339087,0.0,1.0
2010-04-22,0.0035690209395005112,113928.12565931396,0.0,1.0
2010-04-23,0.003479926099858588,114325.27774647185,0.0,1.0
2010-04-26,-0.0032029751397875117,113959.6825327459,-0.0031978510871122356,1.0
2010-04-27,-0.027191824821750643,110902.66214983433,-0.029937522690542062,0.5
2010-04-28,0.001212876435225052,111037.25498109667,-0.028760242968022487,0.5
2010-04-29,0.003277206189283177,111401.74388679063,-0.02557206872625717,0.5
2010-04-30,-0.009864438313798907,110308.23057070271,-0.035136999051752715,0.5
